"name","complexity","completionRate","term","credits"
"BBA Accounting - 21.json",166.0,0.89,8.0,120.0
"BBA Accounting - 21.json",166.0,0.88,8.0,120.0
"BBA Accounting - 21.json",166.0,0.88,8.0,120.0
"BBA Accounting - 21.json",166.0,0.91,8.0,120.0
"BBA Accounting - 21.json",166.0,0.92,8.0,120.0
"BBA Accounting - 21.json",166.0,0.88,8.0,120.0
"BBA Accounting - 21.json",166.0,0.86,8.0,120.0
"BBA Accounting - 21.json",166.0,0.83,8.0,120.0
"BBA Accounting - 21.json",166.0,0.88,8.0,120.0
"BBA Accounting - 21.json",166.0,0.82,8.0,120.0
"BBA Accounting - 21.json",166.0,0.87,8.0,120.0
"BBA Accounting - 21.json",166.0,0.89,8.0,120.0
"BBA Accounting - 21.json",166.0,0.92,8.0,120.0
"BBA Accounting - 21.json",166.0,0.87,8.0,120.0
"BBA Accounting - 21.json",166.0,0.78,8.0,120.0
"BBA Accounting - 21.json",166.0,0.86,8.0,120.0
"BBA Accounting - 21.json",166.0,0.86,8.0,120.0
"BBA Accounting - 21.json",166.0,0.9,8.0,120.0
"BBA Accounting - 21.json",166.0,0.9,8.0,120.0
"BBA Accounting - 21.json",166.0,0.87,8.0,120.0
"BBA Accounting - 21.json",166.0,0.83,8.0,120.0
"BBA Accounting - 21.json",166.0,0.8,8.0,120.0
"BBA Accounting - 21.json",166.0,0.89,8.0,120.0
"BBA Accounting - 21.json",166.0,0.87,8.0,120.0
"BBA Accounting - 21.json",166.0,0.92,8.0,120.0
"BBA Accounting - 21.json",166.0,0.85,8.0,120.0
"BBA Accounting - 21.json",166.0,0.84,8.0,120.0
