"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER","ACTCOMP","ACTENGL","ACTMATH","ACTSCIR","HSGPA"
"864d43ac06db72df77d21d1053ac498a","A+",3.950714286,"M",23.0,25.0,27.0,21.0,3.88999938964844
"3ca1e0a1be66f36880920f52b1650ffc","A+",4.213529412,"M",27.0,22.0,26.0,30.0,3.83999824523926
"c3f06eca3e67d5653e28708a9d4f2dc4","B",3.332777778,"F",21.0,19.0,22.0,19.0,4.0
"b70d9df3bcaea5daa6480bb6361a6563","WP",3.276666667,"M",24.0,24.0,28.0,23.0,3.22999954223633
"a29d41c60fd92d36f73593363eb95d67","B+",3.33,"M",25.0,21.0,29.0,22.0,3.6299991607666
"a29d41c60fd92d36f73593363eb95d67","B+",2.67,"M",25.0,21.0,29.0,22.0,3.6299991607666
"a29d41c60fd92d36f73593363eb95d67","B+",3.33,"M",25.0,21.0,29.0,22.0,3.6299991607666
"56d584e2b4b6158251319058d3df2c34","WP",2.75,"M",22.0,25.0,22.0,23.0,3.30999946594238
"f19a2b85969a5be471b419703b8e3ae2","W",2.423636364,"M",27.0,31.0,27.0,24.0,2.81999969482422
"15797456c4755a3fe943915df125a01e","C+",2.033,"M",23.0,24.0,25.0,23.0,3.44999885559082
"0df46e7d89d1dbc9ad6e665db07ad547","C-",2.901,"M",22.0,23.0,21.0,21.0,2.85999870300293
"86595acffb45bbae5e2aba0687b9bab9","C",1.4375,"F",33.0,30.0,30.0,36.0,3.92999839782715
"5b2119f35669ed74b0d7d2e6029f0187","A-",3.355,"M",27.0,28.0,26.0,28.0,4.0
"75bcceec42e3759110330e46ebe81c01","C+",3.017058824,"F",27.0,29.0,27.0,25.0,3.75
"1a69f93254f4bbf3105529b1a5480c4b","B",3.560625,"F",26.0,20.0,26.0,25.0,3.82999992370605
"481999e3caa8230a4656793f80855f57","C-",2.745384615,"M",17.0,14.0,19.0,21.0,2.57999992370605
"2c3f9cc28724f70311ae4fb288bba064","WP",3.666666667,"F",26.0,27.0,26.0,24.0,3.84999847412109
"66e6f71fe573f24112683f60a9fb96cf","WP",3.154615385,"M",24.0,24.0,28.0,24.0,3.60999870300293
"2d7e86b9b893791538eae1d81c2f71b3","B",3.352941176,"M",24.0,26.0,24.0,24.0,3.78999900817871
"6bc08a1e263cff17da3d5129a29dc32c","B-",3.334,"M",24.0,23.0,24.0,25.0,3.07999992370605
"b0b73c2804494df32ad9d2934f8d361c","C",3.0,"M",23.0,23.0,23.0,23.0,3.76999855041504
"6e2e30182b2e22889f9d37b9aa7d210e","A+",4.0825,"F",26.0,24.0,27.0,28.0,3.19999885559082
"c25c6dff02a3f633789dc465a0dbd58b","A-",3.206153846,"M",26.0,25.0,26.0,25.0,3.75
"6c991ad588f8967ce8cf6d98b67ee5be","C",2.0,"F",18.0,20.0,17.0,19.0,3.89999961853027
"6c991ad588f8967ce8cf6d98b67ee5be","C",2.0,"F",18.0,20.0,17.0,19.0,3.89999961853027
"dbb174255cbb085043478a4ce299d542","A+",3.023846154,"M",23.0,24.0,21.0,22.0,3.76999855041504
"bd8911e4832e9564959153385c31b5e3","A-",0.0,"M",25.0,24.0,26.0,24.0,2.90999984741211
"bd8911e4832e9564959153385c31b5e3","A-",3.641428571,"M",25.0,24.0,26.0,24.0,2.90999984741211
"eba53b1eef6ec6e0a3f2af58690b8bd6","B",2.845384615,"M",19.0,18.0,21.0,19.0,2.36999893188477
"159c668671ff2f41d7bd7f5fa54fc09d","C-",3.128461538,"M",14.0,11.0,15.0,19.0,3.33999824523926
"601e6af5901244a005f1a13aaa2aca3d","C",2.499285714,"F",27.0,27.0,28.0,26.0,4.0
"5e55070400d9c3de9874ae9c65ac2573","C-",3.858571429,"M",19.0,20.0,18.0,20.0,3.69999885559082
"da9295872cf8ff8f288c379e37ace5c8","C+",2.33,"F",21.0,21.0,19.0,21.0,3.92999839782715
"2850ec4d52bc429964ccaf9cf180ed36","C-",2.129230769,"M",21.0,19.0,24.0,22.0,3.29999923706055
"c46751c3f768891326e737f6b7e36e82","B",3.375,"M",31.0,31.0,30.0,28.0,3.34999847412109
"74e9d9c23d7c7ee9bcdbda573e7ed5c1","D",2.570714286,"M",20.0,18.0,26.0,22.0,4.0
"8b0159d1cab4d58745a1d71c69ddb2c7","W",3.094285714,"F",24.0,23.0,24.0,25.0,3.34999847412109
"bfbb5f58f355f99f1e813626c43c824a","B+",3.33,"M",28.0,26.0,28.0,30.0,4.0
"bfbb5f58f355f99f1e813626c43c824a","B+",3.33,"M",28.0,26.0,28.0,30.0,4.0
"121180f8c3cb6d7b308d4ca769b3a921","C-",1.268,"M",25.0,21.0,24.0,26.0,2.88999938964844
"7c828948283330d3425630ba5def927d","C+",3.093571429,"F",24.0,31.0,25.0,22.0,3.28999900817871
"b07c328169276835661ba65d4139064e","C",1.897692308,"M",20.0,17.0,23.0,23.0,3.01999855041504
"f0b9ff7655cdd4c72950250cd4ef31bb","WP",3.0,"M",27.0,23.0,28.0,28.0,3.76999855041504
"4e32761ff409210ddb128fe141de604c","A",3.805882353,"F",27.0,28.0,22.0,25.0,4.0
"31a73be687d1742e6785a0ef8bbd5038","A",3.822,"F",30.0,30.0,28.0,30.0,4.0
"574bd312e0329f2dedc647fabe858792","WP",3.303333333,"F",23.0,25.0,24.0,23.0,3.6299991607666
"e01c4b310ce750134b995900601c749e","WP",3.1675,"M",18.0,15.0,23.0,17.0,3.17999839782715
"116d94a4d711229c17d719edfce649d6","B",3.764705882,"F",26.0,26.0,27.0,26.0,4.0
"bb73b541b8131dc300572ca67869f245","W",0.0,"M",26.0,25.0,34.0,25.0,3.71999931335449
"dd7d31d09ba55d469437365b9f75adee","WP",3.67,"M",27.0,25.0,28.0,26.0,3.29999923706055
"9ba559dab5470099142edbc489235367","F",2.155384615,"M",25.0,23.0,22.0,27.0,2.59999847412109
"466c7bbce81b24d14b5093823197833a","W",1.5825,"M",25.0,24.0,25.0,24.0,3.82999992370605
"8ffb98dd88472efb6e38830feb9c4ff9","D+",3.5825,"M",25.0,22.0,27.0,25.0,3.35999870300293
"a32c2523c875d6da3ffbbd7e38227337","B",3.577333333,"F",24.0,29.0,26.0,25.0,4.0
"8615ca0d67e4cdd48c5dfa88a1c85a4a","A+",4.33,"F",32.0,35.0,29.0,33.0,4.0
"8615ca0d67e4cdd48c5dfa88a1c85a4a","A+",4.33,"F",32.0,35.0,29.0,33.0,4.0
"6b2d8122daa5128ec4c485ce8099b4d7","A",4.0,"M",25.0,25.0,34.0,26.0,4.0
"6b2d8122daa5128ec4c485ce8099b4d7","A",4.0,"M",25.0,25.0,34.0,26.0,4.0
"18733f458a5b37a3d56bbe3156b8e572","W",3.0,"F",23.0,23.0,23.0,22.0,3.56999969482422
"18733f458a5b37a3d56bbe3156b8e572","W",3.428571429,"F",23.0,23.0,23.0,22.0,3.56999969482422
"f88fa0ee69e7b900c896240e4081666a","B+",3.408461538,"M",26.0,20.0,27.0,27.0,3.21999931335449
"b572a3f9f327d6e0ea1859676f2adfbd","B",3.022142857,"F",16.0,16.0,16.0,16.0,2.95999908447266
"1c1ca14c57b6f3b8c6e2298ac5f040c0","B",2.363636364,"M",30.0,31.0,27.0,29.0,3.32999992370605
"caf214f562c7496700205d5364acfc14","B-",3.190714286,"M",20.0,20.0,24.0,20.0,2.96999931335449
"bdcfb62c23e67258021f825f23d03b5c","A",3.646470588,"F",29.0,29.0,27.0,29.0,3.8799991607666
"766bcc2a4a4e650c27f16caa3a3bc705","B",3.166666667,"M",24.0,23.0,27.0,22.0,3.63999938964844
"b264adce2360f90470b4217b4ad5a469","B+",2.51875,"F",20.0,20.0,24.0,23.0,3.84999847412109
